id,grp,beskrivning
2,Arbete,'Bostad-arbete'
3,Skola,'Bostad-skola'
4,Tjänste,'Ärende i tjänsten'
5,Skola,'Ärende i studierna'
6,Daglig,'Privat: Inköp av dagligvaror'
7,Sällan,'Privat: Övriga inköp'
8,Släkt,'Privat: Hälso- och sjukvård'
9,Ann frit,'Privat: Post- eller bankärende'
10,Skjuts,'Privat: Bokning av biljetter/tider'
11,Byte fs,'Privat: Barntillsyn (hämta/lämna)'
12,Ink dagl,'Privat: Annan service'
13,Skjuts,'Privat: Skjutsa(följa)/hämta annan person'
14,Släkt,'Privat: Släkt och vänner'
15,Ann frit,'Privat: Hobbiesmusikutövningstudiecirkelkurs'
16,Ann frit,'Privat: Restaurangcafe'
17,Ann frit,'Privat: Motion och friluftsliv t ex idrott promenad etc'
18,Ann frit,'Privat: Underhållning och kultur fest koncert bio etc'
19,Ann frit,'Privat: Föreningsliv religionsutövning'
20,Barnt,'Privat: Delta i eller följa med vid barns fritidsaktivitet'
21,Ann frit,'Privat: (Annan) semesterresa'
22,Ann frit,'Privat: Annan fritidsaktivitet'
23,Övriga,'Privat: Hämta / Lämna saker'
24,Övriga,'Privat: Begravning / Gravvård'
25,Övriga,'Privat: Annat ärende'
33,Övriga,'Privat: Söka information/uppgifter'
34,Digital,'Privat: Diskussion av frågor som rör tjänsten'
35,Digital,'Privat: Diskussion av frågor som rör studierna'
36,Digital,'Privat: Surfa utan särskilt ärende'
37,Digital,'Privat: Ladda ner filer/bilder/dokument/program etc'
46,fel,'Privat: Vet ej ärende'
47,fel,'Privat: Vill ej ange ärende'
48,fel,'Privat: Uppgift saknas om ärende'
55,Övriga,'Privat: Annat ärende'
80,Arbete,'Arbete (UP:s ordinarie arbetsplats)'
81,Arbete,'Arbete (ej UP:s ordinarie arbetsplats)'
82,Arbete,'Arbete arbetsplats ej känd'
85,Skola,'Studier (UP:s ordinarie skola)'
86,Skola,'Studier (ej UP:s ordinarie skola)'
87,Skola,'Studier skola ej känd'
96,yrk,'Besättningsresa'
97,yrk,'Yrkesmässig trafik på väg'
98,yrk,'Besättningsresa'
141,Tjänste,'I tjänsten: Konferens kurs seminarium'
142,Tjänste,'I tjänsten: Mässa utställning'
143,Tjänste,'I tjänsten: Studiebesök'
144,Tjänste,'I tjänsten: Kundbesök'
145,Tjänste,'I tjänsten: Sammanträde'
146,Tjänste,'I tjänsten: Arbete annat kontor'
147,Tjänste,'I tjänsten: Inköp av dagligvaror'
148,Tjänste,'I tjänsten: Övriga inköp'
149,Tjänste,'I tjänsten: Inköp okänd typ'
150,Tjänste,'I tjänsten: Post- eller bankärende'
151,Tjänste,'I tjänsten: Bokning av biljetter/tider'
152,Tjänste,'I tjänsten: Annan service'
153,Tjänste,'I tjänsten: Skjutsa(följa)/hämta annan person'
154,Tjänste,'I tjänsten: Restaurangcafe'
155,Tjänste,'I tjänsten: Annat ärende'
156,Tjänste,'I tjänsten: Vet ej ärende'
157,Tjänste,'I tjänsten: Vill ej ange ärende'
161,Skola,'I studierna: Konferens kurs seminarium'
162,Skola,'I studierna: Mässa utställning'
163,Skola,'I studierna: Studiebesök'
164,Skola,'I studierna: Kundbesök'
165,Skola,'I studierna: Sammanträde'
166,Skola,'I studierna: Arbete annat kontor'
167,Skola,'I studierna: Inköp av dagligvaror'
168,Skola,'I studierna: Övriga inköp'
169,Skola,'I studierna: Inköp okänd typ'
170,Skola,'I studierna: Post- eller bankärende'
171,Skola,'I studierna: Bokning av biljetter/tider'
172,Skola,'I studierna: Annan service'
173,Skola,'I studierna: Skjutsa(följa)/hämta annan person'
174,Skola,'I studierna: Restaurangcafe'
175,Skola,'I studierna: Annat ärende'
176,Skola,'I studierna: Vet ej ärende'
177,Skola,'I studierna: Vill ej ange ärende'
206,Ink dagl,'Okänd typ: Inköp av dagligvaror'
207,övr ink,'Okänd typ: Övriga inköp'
209,serv,'Okänd typ: Post- eller bankärende'
210,serv,'Okänd typ: Bokning av biljetter/tider'
212,serv,'Okänd typ: Annan service'
213,Skjuts,'Okänd typ: Skjutsa(följa)/hämta annan person'
216,Ann frit,'Okänd typ: Restaurangcafe'
223,Övriga,'Okänd typ: Hämta / Lämna saker'
224,Övriga,'Okänt: Begravning / Gravvård'
225,Övriga,'Okänd typ: Annat ärende'
255,Övriga,'Okänd typ: Annat ärende'
-99,fel,missing
