UENR,UEDAG,VIKT_DAG,BOST_S,D_A_S,D_B_S,D_FORD,D_ARE,D_A_PKT,D_B_PKT,D_A_KL,D_B_KL,BOST_LAN,D_A_SVE,D_B_SVE
20110111008,1,15.191261527442,14800591,25810016,22840015,88,25,7,7,1815,2359,14,1,1
20110111013,1,154.340801986866,1800122,1800122,1800003,10,2,1,4,830,850,1,1,1
20110111013,1,154.340801986866,1800122,1800003,1800005,1,16,4,10,1130,1140,1,1,1
20110111013,1,154.340801986866,1800122,1800005,1800003,1,2,10,4,1220,1230,1,1,1
20110111013,1,154.340801986866,1800122,1800003,1800003,1,16,4,10,1700,1705,1,1,1
20110111013,1,154.340801986866,1800122,1800003,1800003,1,2,10,4,1720,1725,1,1,1
20110111013,1,154.340801986866,1800122,1800003,1800122,10,2,4,1,2000,2020,1,1,1
20110111016,1,210.459934798523,1800027,1800027,1800136,10,14,1,10,940,1000,1,1,1
20110111016,1,210.459934798523,1800027,1800136,1800027,1,6,10,10,1230,1310,1,1,1
20110111016,1,210.459934798523,1800027,1800027,1800027,1,25,10,1,1325,1340,1,1,1
20110111020,1,16.3721540187388,14810056,14810056,14810030,508,2,1,4,630,650,14,1,1
20110111020,1,16.3721540187388,14810056,14810030,14910018,508,4,4,10,900,1030,14,1,1
20110111020,1,16.3721540187388,14810056,14910018,14810056,508,2,10,1,1545,1710,14,1,1
20110111023,1,12.2404598442117,14410001,14410001,14410007,501,22,1,10,1100,1115,14,1,1
20110111023,1,12.2404598442117,14410001,14410007,14410001,501,22,10,1,1500,1515,14,1,1
20110111024,1,26.2979813632513,14800364,NA,14800364,516,21,7,1,1600,2230,14,2,1
20110111026,1,13.2213595403243,14400004,14400004,14810019,511,2,1,4,600,655,14,1,1
20110111026,1,13.2213595403243,14400004,14810019,14400004,511,2,4,1,1600,1715,14,1,1
20110111027,1,16.9094139533033,14800707,14800707,14810006,502,2,1,4,730,745,14,1,1
20110111027,1,16.9094139533033,14800707,14810006,14800707,502,2,4,1,1600,1615,14,1,1
20110111029,1,6.58333712129038,14420009,14420009,14900007,501,2,1,4,720,800,14,1,1
20110111029,1,6.58333712129038,14420009,14900007,14420009,501,2,4,1,1630,1715,14,1,1
20110111036,1,11.8468069358641,14820016,14810006,14800155,501,25,4,7,730,745,14,1,1
20110111036,1,11.8468069358641,14820016,14800155,14800182,11,7,7,10,1620,1630,14,1,1
20110111036,1,11.8468069358641,14820016,14800182,14800183,1,25,10,10,1631,1830,14,1,1
20110111036,1,11.8468069358641,14820016,14800183,14800155,1,7,10,7,1835,1850,14,1,1
20110111036,1,11.8468069358641,14820016,14800155,14810006,501,2,7,4,2100,2110,14,1,1
20110111037,1,63.0890952872377,1910015,1910015,1910015,1,6,1,10,1330,1415,1,1,1
20110111037,1,63.0890952872377,1910015,1910015,1910015,1,25,10,1,1445,1450,1,1,1
20110111039,1,19.0050282030621,1820024,23610007,23610007,1,6,9,10,1300,1315,1,1,1
