UENR,VIKT_DAG,UEDAG,D_A_KL,D_B_KL,D_A_PKT,D_B_PKT,D_ARE,D_FORD,BOST_LAN,D_A_S,D_B_S,D_A_SVE,D_B_SVE
110,18.5539148806636,3,0500,0708,1,2,2,10,12,12730011,DK-0101,1,1
110,18.5539148806636,3,1507,1743,2,1,1,10,12,DK-0101,12730011,1,1
161,33.5518798117675,3,1510,1814,1,2,3,10,12,12780011,DK-0185,1,1
177,56.568667438197,2,0800,-99,1,2,9,10,12,12780010,DK-0173,1,1
177,56.568667438197,2,1800,-99,2,1,1,10,12,DK-0173,12780010,1,1
240,19.276482827577,1,0900,1100,1,2,9,5,12,12780002,DK-0217,1,1
240,19.276482827577,1,1700,1900,2,1,1,5,12,DK-0217,12780002,1,1
531,23.1266458398392,7,1310,1500,1,2,9,5,12,12780007,DK-0223,1,1
531,23.1266458398392,7,1540,1600,2,-99,9,5,12,DK-0223,12780007,1,1
531,23.1266458398392,7,2040,2100,2,-99,9,-99,12,12780007,DK-0223,1,1
650,5.70629767721249,6,0620,0930,2,1,1,10,12,DK-0185,12730010,1,1
1054,25.1243739722156,4,2345,0015,2,2,3,10,12,DK-0185,12810010,1,1
1059,10.0058374771186,1,1622,1834,2,1,1,10,12,DK-0185,12730007,1,1
1215,16.5040488272008,2,0730,0910,1,2,2,5,12,12570001,,1,1
1215,16.5040488272008,2,1530,1700,2,1,1,5,12,,12570001,1,1
1239,32.3945758442853,7,1400,1600,2,1,3,5,12,DK-0101,127300,1,101,1,1
1907,16.5040488272008,3,1930,1745,2,1,1,9,12,DK-0217,12570002,1,1
1965,7.32173382989042,4,1515,1720,2,2,1,10,12,DK-0185,12920013,1,1
2169,12.3872139721239,2,0200,0400,1,2,10,6,12,12560011,DK-0185,1,1
2169,12.3872139721239,2,0600,0900,2,2,9,11,12,DK-0185,12560011,1,1
2456,7.33069877567116,3,1300,1315,1,2,8,6,12,12570003,DK-0151,1,1
2456,7.33069877567116,3,1430,1445,2,1,1,6,12,DK-0151,12570003,1,1
2742,18.2653322415866,4,0800,1030,1,2,3,5,12,12570004,DK-0461,1,1
2742,18.2653322415866,4,1200,1210,2,2,3,5,12,DK-0461,12570004,1,1
2742,18.2653322415866,4,1315,1400,2,2,3,5,12,12570004,DK-0607,1,1
3000,7.33069877567116,1,1510,1705,2,1,1,5,12,DK-0101,12570004,1,1
3089,27.2211073199808,4,1005,1130,1,2,7,5,12,12570004,DK-0217,1,1
3089,27.2211073199808,4,1225,1500,2,1,1,5,12,DK-0217,12570004,1,1
3370,9.4990278159626,7,1015,1300,2,2,9,10,12,12920021,DK-0101,1,1
3370,9.4990278159626,7,2047,2300,2,1,1,10,12,DK-0101,12920021,1,1
3772,61.2002679407553,7,0640,0715,2,2,9,10,12,12800026,DK-0101,1,1
3772,61.2002679407553,7,0910,1030,2,2,9,11,12,DK-0101,12920006,1,1
4041,2.90558909390486,6,1400,1530,1,2,2,5,12,12840031,DK-0185,1,1
4125,2.26277651142185,2,1200,1330,1,2,9,6,12,12840025,DK-0101,1,1
4125,2.26277651142185,2,1615,1810,2,1,1,6,12,DK-0101,12840025,1,1
4362,2.26277651142185,1,1515,1535,2,2,9,6,12,DK-0210,12840025,1,1
4362,2.26277651142185,1,1830,1840,2,2,9,6,12,12840025,DK-0219,1,1
4362,2.26277651142185,1,2130,2300,2,2,7,6,12,DK-0219,12830011,1,1
4494,3.13948441767277,7,0730,0900,2,1,1,6,12,DK-0185,12840025,1,1
4770,4.14883980914342,3,1730,1855,2,2,3,11,12,12840031,DK-0185,1,1
4770,4.14883980914342,3,1910,2025,2,1,1,5,12,DK-0185,12840031,1,1
5016,9.18045290781832,1,2100,2320,1,2,9,10,12,12840005,DK-0185,1,1
