region,lkod,lnamn
SAMM,01,Stockholms län
SAMM,03,Uppsala län
SAMM,04,Södermanlands län
Sydöst,05,Östergötlands län
Sydöst,06,Jönköpings län
Sydöst,07,Kronobergs län
Sydöst,08,Kalmar län
SAMM,09,Gotlands län
Sydöst,10,Blekinge län
Syd,12,Skåne län
Väst,13,Hallands län
Väst,14,Västra Götalands län
Väst,17,Värmlands län
SAMM,18,Örebro län
SAMM,19,Västmanlands län
PALT,20,Dalarnas län
PALT,21,Gävleborgs län
PALT,22,Västernorrlands län
PALT,23,Jämtlands län
PALT,24,Västerbottens län
PALT,25,Norrbottens län
