UENR,DAG,tour,purpose,mode,weight,Adur,Mdur,zoneA,zoneB,parts
20110111013,1,1,Arbete,koll,154.341,585,40,1800122,1800003,2
20110111016,1,1,Släkt,koll,210.46,150,20,1800027,1800136,2
20110111020,1,1,Arbete,bil,16.372,130,195,14810056,14810030,2
20110111023,1,1,Rekr,bil,12.24,225,30,14410001,14410007,2
20110111026,1,1,Arbete,pass,13.221,545,130,14400004,14810019,2
20110111027,1,1,Arbete,bil,16.909,495,30,14800707,14810006,2
20110111029,1,1,Arbete,bil,6.583,510,85,14420009,14900007,2
20110111037,1,1,Daglig,gång,63.089,30,50,1910015,1910015,2
20110111042,1,1,Arbete,koll,9.549,520,65,14800836,14800827,2
20110111043,1,1,Arbete,gång,167.756,580,40,1800013,5810068,2
20110111044,1,1,Arbete,bil,254.681,615,30,1270037,1270037,2
20110111047,1,1,Arbete,bil,242.112,585,90,5830042,18610005,2
20110111049,1,1,Arbete,bil,8.837,500,40,14010006,14020011,2
20110111049,1,2,Rekr,gång,8.837,88,14,14010006,14010013,2
20110111050,1,1,Arbete,bil,6.882,530,115,14210004,14800552,2
20110111052,1,1,Arbete,koll,201.676,527,45,14980003,14990017,2
20110111053,1,1,Övriga,koll,58.431,500,85,1380006,1800002,2
20110111057,1,1,SHB,bil,27.428,85,40,1820033,1820020,2
20110111057,1,2,Daglig,bil,27.428,105,30,1820033,1820015,2
20110111063,1,1,Arbete,bil,238.128,490,40,14880054,14880038,2
